Select your 3 favorite characters!
"John Egbert, Nepeta Leijon, Dave Strider"
"Dirk Strider, Gamzee Makara, Vriska Serket"
"Sollux Captor, Davesprite, Aradia Megido"
"Equius Zahhak, Jade Harley, Nepeta Leijon"
"Rose Lalonde, Jade Harley, Nepeta Leijon"
"Jade Harley, Dave Strider, Terezi Pyrope"
"Terezi Pyrope, Jane Crocker, Dave Strider"
"John Egbert, WV (sigh... ""The Mayor""), Calliope"
"Nepeta Leijon, Equius Zahhak, Meulin Leijon"
"Dave Strider, Vriska Serket, Aranea Serket"
"Karkat Vantas, Caliborn, Jade Harley"
"Latula Pyrope, Roxy Lalonde, Vriska Serket"
"Dave Strider, Karkat Vantas, Davesprite"
"Karkat Vantas, Kanaya Maryam, Calliope"
"Karkat Vantas, Feferi Peixes, Kanaya Maryam"
"John Egbert, Jake English, Aranea Serket"
"John Egbert, Equius Zahhak, Tavros Nitram"
"Dave Strider, Karkat Vantas, Roxy Lalonde"
"Dirk Strider, Dave Strider, Aradia Megido"
"Sollux Captor, Jane Crocker, Porrim Maryam"
"Nepeta Leijon, Vriska Serket, Other"
"Dave Strider, Bro Strider, Dirk Strider"
"Eridan Ampora, Karkat Vantas, Jake English"
"Kanaya Maryam, Roxy Lalonde, Terezi Pyrope"
"Equius Zahhak, Horuss Zahhak, ARquius"
"Jade Harley, Calliope, Terezi Pyrope"
"John Egbert, Karkat Vantas, Vriska Serket"
"Jade Harley, Davepeta, Karkat Vantas"
"Dave Strider, Jade Harley, Terezi Pyrope"
"Rose Lalonde, Aradia Megido, Kanaya Maryam"
"Aradia Megido, Sollux Captor, Dave Strider"
"John Egbert, Karkat Vantas, Vriska Serket"
"Dave Strider, Karkat Vantas, Dirk Strider"
"Gamzee Makara, Sollux Captor, John Egbert"
"Terezi Pyrope, Karkat Vantas, Gamzee Makara"
"John Egbert, Jack Noir (B1), Jade Harley"
"The Condesce, Davepeta, John Egbert"
"Gamzee Makara, John Egbert, Dirk Strider"
"Kankri Vantas, Dirk Strider, Karkat Vantas"
"Nepeta Leijon, Roxy Lalonde, Terezi Pyrope"
"Karkat Vantas, Dirk Strider, Gamzee Makara"
"SS, DD, Dave Strider"
"Jade Harley, Becquerel, Terezi Pyrope"
"Jade Harley, Aradia Megido, Nepeta Leijon"
"Dirk Strider, Davesprite, Dave Strider"
""
"Vriska Serket, Jade Harley, Aradia Megido"
"Nepeta Leijon, Roxy Lalonde, Jade Harley"
"WV (sigh... ""The Mayor""), Jake English, Bro Strider"
"Jade Harley, Terezi Pyrope, Nepeta Leijon"
"John Egbert, Terezi Pyrope, Nepeta Leijon"
"Dave Strider, Terezi Pyrope, Sollux Captor"
"Dave Strider, Karkat Vantas, WV (sigh... ""The Mayor"")"
"Dave Strider, Nepeta Leijon, Equius Zahhak"
"Kanaya Maryam, Damara Megido, Feferi Peixes"
"Vriska Serket, Eridan Ampora, Jack Noir (B1)"
"Dave Strider, Karkat Vantas, Kanaya Maryam"
"Dave Strider, WV (sigh... ""The Mayor""), John Egbert"
"Gamzee Makara, Dave Strider, Vriska Serket"
"Gamzee Makara, Sollux Captor, Tavros Nitram"
"Davepeta, Jade Harley, WV (sigh... ""The Mayor"")"
"Dave Strider, Karkat Vantas, Dirk Strider"
"Dave Strider, Dirk Strider, Jake English"
"Erisolsprite, Eridan Ampora, Dad Egbert"
"Roxy Lalonde, Jade Harley, Kanaya Maryam"
"Terezi Pyrope, Rose Lalonde, Dave Strider"
"Vriska Serket, Roxy Lalonde, Karkat Vantas"
"Jade Harley, Aradia Megido, Mituna Captor"
"John Egbert, WV (sigh... ""The Mayor""), Rose Lalonde"
"Tavros Nitram, Dirk Strider, Rufioh Nitram"
"Jack Noir (B1), Terezi Pyrope, Davepeta"
"Dave Strider, Mituna Captor, Kanaya Maryam"
"Caliborn, Calliope, Dave Strider"
"Jade Harley, Dirk Strider, Terezi Pyrope"
"Jack Noir (B1), Dave Strider, Nepeta Leijon"
"Tavros Nitram, Roxy Lalonde, Nepeta Leijon"
"Dave Strider, Gamzee Makara, Dirk Strider"
"John Egbert, Karkat Vantas, Dave Strider"
"Kanaya Maryam, Rose Lalonde, Caliborn"
"Davepeta, Dave Strider, Karkat Vantas"
"the psiionic, Aradia Megido, Bro Strider"
"John Egbert, Tavros Nitram, Aradia Megido"
"Jane Crocker, Aranea Serket, Jade Harley"
"Aradia Megido, Calliope, Doc Scratch"
"John Egbert, Doc Scratch, Calliope"
"Caliborn, Bro Strider, Jane Crocker"
"Equius Zahhak, John Egbert, Gamzee Makara"
"Calliope, Roxy Lalonde, Dave Strider"
"Vriska Serket, Jane Crocker, Aradia Megido"
"Mituna Captor, Caliborn, Davesprite"
"Roxy Lalonde, Nepeta Leijon, WV (sigh... ""The Mayor"")"
"Kanaya Maryam, Dave Strider, Tavros Nitram"
"Dave Strider, Bro Strider, Dirk Strider"
"Vriska Serket, Dirk Strider, Mituna Captor"
"Terezi Pyrope, Dirk Strider, Jane Crocker"
"Karkat Vantas, Dave Strider, Gamzee Makara"
"Nepeta Leijon, WV (sigh... ""The Mayor""), Aranea Serket"
"Equius Zahhak, Horuss Zahhak, John Egbert"
"Karkat Vantas, Dirk Strider, Cronus Ampora"
"Karkat Vantas, Jade Harley, PM"
"John Egbert, Karkat Vantas, Caliborn"
"Equius Zahhak, Nepeta Leijon, Rose Lalonde"
"Caliborn, Lil Hal, WV (sigh... ""The Mayor"")"
"Tavros Nitram, Jake English, Rufioh Nitram"
"Dave Strider, Terezi Pyrope, Gamzee Makara"
"Karkat Vantas, Dave Strider, Roxy Lalonde"
"Porrim Maryam, Aradia Megido, WV (sigh... ""The Mayor"")"
"John Egbert, Vriska Serket, Equius Zahhak"
"Dave Strider, Roxy Lalonde, Davepeta"
"Aradia Megido, Jane Crocker, Nepeta Leijon"
"Nepeta Leijon, Jade Harley, Becquerel"
"Vriska Serket, Kanaya Maryam, Dave Strider"
"Dave Strider, Karkat Vantas, Horuss Zahhak"
"Aradia Megido, Terezi Pyrope, Dave Strider"
"Jade Harley, Feferi Peixes, Jane Crocker"
"Dave Strider, Terezi Pyrope, Karkat Vantas"
"John Egbert, Nepeta Leijon, Bro Strider"
"John Egbert, Dave Strider, Davesprite"
"Dave Strider, Dirk Strider, John Egbert"
"SS, CD, Grandpa Harley"
"Dave Strider, Dirk Strider, Caliborn"
"Equius Zahhak, Dave Strider, Eridan Ampora"
