Select your 3 least favorite characters!
"Eridan Ampora, Caliborn, Aranea Serket"
"Dave Strider, Karkat Vantas, Sollux Captor"
"Jane Crocker, Jack Noir (B1), Vriska Serket"
"Gamzee Makara, Mom Lalonde, Jane Crocker"
"Kankri Vantas, Damara Megido, Doc Scratch"
"Equius Zahhak, Horuss Zahhak, Aranea Serket"
"Horuss Zahhak, Equius Zahhak, ARquius"
"Lord English, Caliborn, Aranea Serket"
"Rufioh Nitram, Other, Kankri Vantas"
"Bro Strider, Lord English, Davepeta"
"Cronus Ampora, Horuss Zahhak, Kankri Vantas"
"Damara Megido, Kankri Vantas, Mituna Captor"
""
"Cronus Ampora, Doc Scratch, Caliborn"
"Eridan Ampora, Gamzee Makara, Caliborn"
"Equius Zahhak, Dirk Strider, Cronus Ampora"
"Bro Strider, Jack Noir (B1), The Handmaid"
"Bro Strider, Gamzee Makara, Erisolsprite"
"Jane Crocker, Vriska Serket, Kankri Vantas"
"Bro Strider, Kurloz Makara, Cronus Ampora"
"Gamzee Makara, Eridan Ampora, Caliborn"
"Sollux Captor, Mituna Captor, Horuss Zahhak"
"Eridan Ampora, Jake English, Feferi Peixes"
"Gamzee Makara, Tavros Nitram, Cronus Ampora"
"Horuss Zahhak, Rufioh Nitram, Nannasprite"
"Karkat Vantas, Meulin Leijon, Cronus Ampora"
"ARquius, Jasprose, Cronus Ampora"
"ARquius, Kankri Vantas, Aranea Serket"
"Feferi Peixes, Jane Crocker, Horuss Zahhak"
"Tavros Nitram, Lord English, Cronus Ampora"
"Jade Harley, Bro Strider, Equius Zahhak"
"Kankri Vantas, Meenah Peixes, Tavros Nitram"
"Gamzee Makara, Caliborn, Cronus Ampora"
"Vriska Serket, Lord English, N/A"
"Karkat Vantas, Equius Zahhak, Kankri Vantas"
"Cronus Ampora, Caliborn, Doc Scratch"
"Meenah Peixes, Cronus Ampora, The Condesce"
"Cronus Ampora, Eridan Ampora, Damara Megido"
"Dave Strider, Doc Scratch, Jake English"
"WV (sigh... ""The Mayor""), Jane Crocker, Dad Egbert"
"Gamzee Makara, Bro Strider, Lord English"
"Dirk Strider, Davepeta, Horuss Zahhak"
""
"Jane Crocker, Caliborn, Meenah Peixes"
"Horuss Zahhak, Equius Zahhak, Kurloz Makara"
"Gamzee Makara, Horuss Zahhak, Aranea Serket"
"Davepeta, Feferi Peixes, Calliope"
"Eridan Ampora, Cronus Ampora, The Orphaner Dualscar"
"Aranea Serket, Cronus Ampora, Jane Crocker"
"PM, Lord English, WV (sigh... ""The Mayor"")"
"Vriska Serket, Tavros Nitram, Bro Strider"
"Dad Egbert, AR, Cronus Ampora"
"Eridan Ampora, ARquius, Kurloz Makara"
"Eridan Ampora, Equius Zahhak, Jack Noir (B1)"
"Vriska Serket, Jane Crocker, Cronus Ampora"
""
"Aranea Serket, Damara Megido, Kurloz Makara"
"Feferi Peixes, Jake English, Mituna Captor"
""
"Kankri Vantas, Cronus Ampora, Bro Strider"
"Feferi Peixes, Rose Lalonde, Jane Crocker"
"Aranea Serket, Lil Hal, Jake English"
"Doc Scratch, Cronus Ampora, Lord English"
""
"Nepeta Leijon, Equius Zahhak, ARquius"
"Dirk Strider, Bro Strider, Caliborn"
"Vriska Serket, Aranea Serket, Other"
"Grandpa Harley, Doc Scratch, Cronus Ampora"
"Caliborn, Horuss Zahhak, Cronus Ampora"
"Eridan Ampora, Caliborn, Equius Zahhak"
"Caliborn, Nannasprite, Jane Crocker"
"Eridan Ampora, Cronus Ampora, Bro Strider"
"Equius Zahhak, Eridan Ampora, Cronus Ampora"
"Dad Egbert, Nannasprite, Kankri Vantas"
"Feferi Peixes, Eridan Ampora, Calliope"
"Gamzee Makara, Lil Hal, Equius Zahhak"
"Equius Zahhak, Bro Strider, Doc Scratch"
"Lord English, The Condesce, Bro Strider"
"Cronus Ampora, Meenah Peixes, Caliborn"
"Cronus Ampora, Tavros Nitram, Calliope"
"Jake English, Davepeta, Rufioh Nitram"
""
"Bro Strider, Eridan Ampora, Sollux Captor"
"John Egbert, Vriska Serket, Bro Strider"
"Eridan Ampora, Feferi Peixes, Bro Strider"
"Caliborn, Calliope, Jake English"
"Vriska Serket, Jack Noir (B1), Lord English"
"ARquius, Tavros Nitram, Caliborn"
"Rufioh Nitram, Doc Scratch, Aradia Megido"
"Vriska Serket, Eridan Ampora, WV (sigh... ""The Mayor"")"
"Mituna Captor, Rufioh Nitram, Horuss Zahhak"
